"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"AFF1;AFF2","2","LTS-6960HR","","","","Display_7Segment:7SegmentLED_LTS6760_LTS6780","https://datasheet.octopart.com/LTS-6960HR-Lite-On-datasheet-11803242.pdf"
"BZ1","1","Buzzer","","","","","~"
"C1","1","20pF","","","","","~"
"C2;C3","2","C","","","","","~"
"D1;D2;D3;D4;D5;D6;D7;D8","8","LED","","","","","~"
"J1","1","ISP Prog","","","","","~"
"J2;J3","2","Conn_01x02","","","","","~"
"LCD-16x2-I2C1","1","U1","","","","",""
"R1;R2;R3;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;R20;R21;R22;R23;R24;R25;R26;R27;R28","25","R","","","","","~"
"SW1;SW2;SW3;SW4","4","SW_Push","","","","","~"
"SW01;SW02;SW03;SW04;SW05;SW06;SW07;SW08","8","SW_SPDT","","","","","~"
"U1","1","AT89x51xxP","","","","Package_DIP:DIP-40_W15.24mm","https://ww1.microchip.com/downloads/en/DeviceDoc/doc2487.pdf"
"U2","1","L7805","","","","","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"U3;U5","2","74HC595","","","","","http://www.ti.com/lit/ds/symlink/sn74hc595.pdf"
"U6","1","AM2302","","","","Sensor:ASAIR_AM2302_P2.54mm_Vertical","http://akizukidenshi.com/download/ds/aosong/AM2302.pdf"
"Y1","1","Crystal","","","","","~"
