"Reference"|"Qty"|"Value"|"DNP"|"Exclude from BOM"|"Exclude from Board"|"Footprint"
"AFF1"|"1"|"GENERIC_CHINESE_2DIG-7SEG-DISPLAY"|""|""|""|"Entelechy:Generic_Chinese_2DIG-7SEG-Display"
"BZ1"|"1"|"Buzzer"|""|""|""|"Buzzer_Beeper:Buzzer_12x9.5RM7.6"
"C2;C3;C10;C11"|"4"|"0,1u 50V"|""|""|""|"Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm"
"C4;C7"|"2"|"10u"|""|""|""|"Capacitor_THT:CP_Radial_D5.0mm_P2.50mm"
"C5"|"1"|"100p 50V"|""|""|""|"Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm"
"C6"|"1"|"100n 50V"|""|""|""|"Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm"
"C8;C9"|"2"|"22pF 50V"|""|""|""|"Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm"
"D5;D6;D8;D9;D10"|"5"|"LED"|""|""|""|"LED_THT:LED_D5.0mm"
"D7"|"1"|"LED_GBRA"|""|""|""|"LED_THT:LED_D5.0mm-4_RGB_Wide_Pins"
"J1"|"1"|"RPP_OUT"|""|""|""|"Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical"
"J2"|"1"|"GND REF"|""|""|""|"Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical"
"J3"|"1"|"ISP Prog"|""|""|""|"Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical"
"J4"|"1"|"V+"|""|""|""|"Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical"
"J5"|"1"|"V-"|""|""|""|"Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical"
"JP1"|"1"|"P1.0"|""|""|""|"Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"JP2"|"1"|"P1.1"|""|""|""|"Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"JP3"|"1"|"P1.2"|""|""|""|"Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"JP4"|"1"|"P1.3"|""|""|""|"Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"JP5"|"1"|"P1.4"|""|""|""|"Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"JP6"|"1"|"P1.5"|""|""|""|"Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"JP7"|"1"|"P1.6"|""|""|""|"Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"JP8"|"1"|"P1.7"|""|""|""|"Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"JP9"|"1"|"P0.0"|""|""|""|"Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"JP10"|"1"|"P0.1"|""|""|""|"Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"JP11"|"1"|"P3.1"|""|""|""|"Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"JP12"|"1"|"P3.0"|""|""|""|"Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"KEY0;KEY1;KEY2;KEY3;KEY4"|"5"|"SW_Push"|""|""|""|"Entelechy:SW_BUTT-2"
"LCD-16x2-I2C1"|"1"|"LCD-16x2-I2C"|""|""|""|"Entelechy:LCD_16x2_I2C"
"P3.4-7"|"1"|"P3.4-7"|""|""|""|"Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical"
"Q1;Q4;Q5"|"3"|"BC547"|""|""|""|"Entelechy:TO-92-3_ONS"
"Q2"|"1"|"IRF9540N"|""|""|""|"Package_TO_SOT_THT:TO-220-3_Vertical"
"R0;R14;R16;R24;R25;R26"|"6"|"10k 1%"|""|""|""|"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal"
"R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R15;R20"|"14"|"330 1%"|""|""|""|"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal"
"R17;R18;R19;R21"|"4"|"1k 1%"|""|""|""|"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal"
"R22;R23"|"2"|"320 1%"|""|""|""|"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal"
"SW0;SW1;SW2;SW3;SW4;SW5;SW6;SW7"|"8"|"SW_SPDT"|""|""|""|"Entelechy:SLW-116641-5A-S-D"
"U1"|"1"|"DHT22[AM2302]"|""|""|""|"Sensor:ASAIR_AM2302_P2.54mm_Vertical"
"U2"|"1"|"AT89x51xxP"|""|""|""|"Package_DIP:DIP-40_W15.24mm"
"U3"|"1"|"74HC595"|""|""|""|"Package_DIP:DIP-16_W7.62mm"
"Y2"|"1"|"12MHz"|""|""|""|"Crystal:Crystal_HC52-8mm_Vertical"
